step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
87,17822,174,0.030948755718547123,0.5,0.8,,,,,,,,,
88,18032,176,0.025356507847514316,1.0,1.0,,,,,,,,,
89,18274,178,0.02321226825689276,1.0,1.0,0.032963899000137645,1.0,1.0,,,,,,
90,18516,180,0.02303133153654441,1.0,1.0,,,,,,,,,
91,18774,182,0.03326299004263092,0.5,0.8,,,,,,,,,
92,19000,184,0.03161071955790768,0.0,0.5,,,,,,,,,
93,19274,186,0.029068714194928524,1.0,1.0,,,,,,,,,
94,19756,188,0.023903694757987978,0.0,0.6,,,,,,,,,
95,19982,190,0.03582419307927921,0.0,0.6666666666666666,,,,,,,,,
96,20224,192,0.025399185523812772,0.5,0.8333333333333334,,,,,,,,,
97,20482,194,0.024676180551325613,1.0,1.0,0.027561160288436214,0.5,0.8,,,,,,
98,20660,196,0.03162409581713622,1.0,1.0,,,,,,,,,
99,20854,198,0.03612351154632506,0.5,0.8,,,,,,,,,
100,21096,200,0.036215452352698775,0.5,0.8,,,,,,,,,
101,21226,202,0.036794580361925004,0.5,0.8,,,,,,,,,
102,21452,204,0.02709224765777305,1.0,1.0,,,,,,,,,
103,21598,206,0.037752763791286274,0.5,0.8,,,,,,,,,
104,21824,208,0.04291820998671548,0.5,0.8,,,,,,,,,
105,22050,210,0.030910447378768628,1.0,1.0,0.04200995190349204,0.0,0.5,,,,,,
106,22276,212,0.027862886341237233,1.0,1.0,,,,,,,,,
107,22470,214,0.024481119460103094,1.0,1.0,,,,,,,,,
108,22600,216,0.03371137518191063,0.5,0.8,,,,,,,,,
109,22714,218,0.043414780142556994,0.5,0.8,,,,,,,,,
110,22972,220,0.026897149649114455,0.5,0.8,,,,,,,,,
111,23166,222,0.02745823996406671,1.0,1.0,,,,,,,,,
112,23760,224,0.019775975193953018,1.0,1.0,,,,,,,,,
113,24002,226,0.03601461395543204,0.5,0.8,0.029684263834956908,0.5,0.8,,,,,,
114,24116,228,0.03945218369711906,1.0,1.0,,,,,,,,,
115,24374,230,0.017789949784768166,1.0,1.0,,,,,,,,,
116,24488,232,0.04682080059946071,0.5,0.8,,,,,,,,,
117,24586,234,0.05504552333578735,0.5,0.8,,,,,,,,,
118,24812,236,0.038837396436626606,0.0,0.5,,,,,,,,,
119,25086,238,0.022877255415348963,0.5,0.8,,,,,,,,,
120,25360,240,0.02644023675222557,0.0,0.6666666666666666,,,,,,,,,
121,25474,242,0.03893297647832047,0.5,0.8,0.035194900518995084,0.5,0.8,,,,,,
122,25748,244,0.026659054836295045,0.5,0.8,,,,,,,,,
123,25990,246,0.03392361636871768,0.0,0.6666666666666666,,,,,,,,,
124,26184,248,0.028590058489796014,1.0,1.0,,,,,,,,,
125,26426,250,0.03671802662131449,0.5,0.8,,,,,,,,,
126,26684,252,0.021323670328696382,1.0,1.0,,,,,,,,,
127,26910,254,0.030571892148501707,0.5,0.8,,,,,,,,,
128,27056,256,0.036841696027426624,0.5,0.8,,,,,,,,,
129,27266,258,0.03225393344147121,0.5,0.8,0.03268386244706804,0.5,0.8,,,,,,
130,27492,260,0.022876085454636264,1.0,1.0,,,,,,,,,
131,27734,262,0.02089881280253576,1.0,1.0,,,,,,,,,
132,27944,264,0.023450208854660908,1.0,1.0,,,,,,,,,
133,28202,266,0.02276338414761085,0.5,0.8,,,,,,,,,
134,28332,268,0.039030347660136605,0.5,0.8,,,,,,,,,
135,28446,270,0.03674432488587107,1.0,1.0,,,,,,,,,
136,28672,272,0.03195582955473291,0.5,0.8,,,,,,,,,
137,28850,274,0.031172216655902297,0.5,0.8,0.02352725262759642,1.0,1.0,,,,,,
138,29092,276,0.0386524617267399,0.0,0.5,,,,,,,,,
139,29382,278,0.017585161196124723,0.5,0.8,,,,,,,,,
140,29624,280,0.031908955929121775,0.0,0.6666666666666666,,,,,,,,,
141,29786,282,0.031857405234655745,0.5,0.8,,,,,,,,,
142,29996,284,0.027367810656102776,1.0,1.0,,,,,,,,,
143,30142,286,0.03914504104523884,0.5,0.8,,,,,,,,,
144,30336,288,0.03207896159641223,0.5,0.8,,,,,,,,,
145,30450,290,0.037599603557534604,1.0,1.0,0.025488777224485858,1.0,1.0,,,,,,
146,30676,292,0.029531556330491964,0.5,0.8333333333333334,,,,,,,,,
147,30902,294,0.026335843936978045,0.5,0.8,,,,,,,,,
148,31160,296,0.03884824086364346,0.0,0.5,,,,,,,,,
149,31418,298,0.021546679485064144,1.0,1.0,,,,,,,,,
150,31660,300,0.024018637660228707,1.0,1.0,,,,,,,,,
151,32990,302,0.018746191464897165,0.0,0.6,,,,,,,,,
152,33232,304,0.036441677730552936,0.5,0.8,,,,,,,,,
153,33490,306,0.022535398386845602,1.0,1.0,0.03651860890542321,0.5,0.8,,,,,,
154,35444,308,0.014179177217573122,1.0,1.0,,,,,,,,,
155,35590,310,0.04998136202868106,0.0,0.5,,,,,,,,,
156,35704,312,0.03715896506506527,0.0,0.6,,,,,,,,,
157,35930,314,0.02979734220714168,0.5,0.8333333333333334,,,,,,,,,
158,36172,316,0.031690014534143614,0.5,0.8,,,,,,,,,
159,36382,318,0.029078263612283575,0.5,0.8,,,,,,,,,
160,36496,320,0.02798123382731709,1.0,1.0,,,,,,,,,
161,36786,322,0.030738743106435824,0.5,0.8,0.03488553384001307,0.0,0.6666666666666666,,,,,,
162,37028,324,0.029359313434440384,0.5,0.8,,,,,,,,,
163,37270,326,0.035853380340953665,0.0,0.6666666666666666,,,,,,,,,
164,37528,328,0.02896716659494359,0.5,0.8,,,,,,,,,
165,37674,330,0.03290394995514766,0.0,0.6666666666666666,,,,,,,,,
166,37932,332,0.028863120211277647,0.5,0.8,,,,,,,,,
167,38190,334,0.034535471226610076,0.5,0.8,,,,,,,,,
168,38320,336,0.030835684163564567,1.0,1.0,,,,,,,,,
169,38530,338,0.034202409703915554,0.5,0.8,0.04396674722697526,0.5,0.8,,,,,,
170,38692,340,0.02840607165531219,1.0,1.0,,,,,,,,,
171,38950,342,0.015095717223408658,1.0,1.0,,,,,,,,,
172,39208,344,0.02508869837242515,1.0,1.0,,,,,,,,,
173,39450,346,0.04297238430689564,0.5,0.8,,,,,,,,,
174,39692,348,0.027332467972302158,1.0,1.0,,,,,,,,,
175,39918,350,0.01980495102189772,1.0,1.0,,,,,,,,,
176,40928,352,0.022747767659383685,0.0,0.5,,,,,,,,,
177,41170,354,0.02883549517631642,1.0,1.0,0.04293429972928509,0.0,0.5,,,,,,
178,41412,356,0.026507077690495862,1.0,1.0,,,,,,,,,
179,41638,358,0.03206278516770129,0.5,0.8,,,,,,,,,
180,41864,360,0.025641989163961106,1.0,1.0,,,,,,,,,
181,42106,362,0.024042837302530946,1.0,1.0,,,,,,,,,
182,42236,364,0.04015827225419571,0.5,0.8,,,,,,,,,
183,42478,366,0.033532277704803465,0.5,0.8,,,,,,,,,
184,42704,368,0.02583181151417843,0.5,0.8,,,,,,,,,
185,42930,370,0.031914097310931804,0.0,0.6666666666666666,0.029599663235426878,0.0,0.6666666666666666,,,,,,
186,43124,372,0.03269410880819578,0.0,0.6,,,,,,,,,
187,43254,374,0.04139214670811498,0.5,0.8,,,,,,,,,
188,43448,376,0.0247893880664329,1.0,1.0,,,,,,,,,
189,43674,378,0.02779499310999134,0.5,0.8,,,,,,,,,
190,43932,380,0.025699565651014212,0.5,0.8,,,,,,,,,
191,44078,382,0.0283542347992261,1.0,1.0,,,,,,,,,
192,44320,384,0.03789464714157293,0.0,0.5,,,,,,,,,
193,44498,386,0.03030524468398074,0.5,0.8,0.025011257532308134,1.0,1.0,,,,,,
194,44740,388,0.024844325813196823,0.5,0.8,,,,,,,,,
195,44950,390,0.028212798598919325,1.0,1.0,,,,,,,,,
196,45144,392,0.02949102728563124,1.0,1.0,,,,,,,,,
197,45418,394,0.03035345602195588,1.0,1.0,,,,,,,,,
198,45548,396,0.03731375742868068,0.5,0.8,,,,,,,,,
199,45758,398,0.0297963138302958,0.5,0.8,,,,,,,,,
200,45856,400,0.03599541029843787,0.5,0.8,,,,,,,,,
201,46082,402,0.025964629090018593,1.0,1.0,0.0274338793547372,0.5,0.8,,,,,,
202,46292,404,0.030589046400841306,0.0,0.6666666666666666,,,,,,,,,
203,46534,406,0.02974459329998657,0.5,0.8333333333333334,,,,,,,,,
204,46664,408,0.03513973187865873,0.5,0.8,,,,,,,,,
205,46890,410,0.03185635235740327,0.5,0.8,,,,,,,,,
206,47148,412,0.021377543501467075,1.0,1.0,,,,,,,,,
207,47342,414,0.03515795068299999,0.5,0.8,,,,,,,,,
208,47456,416,0.05851460133859811,0.0,0.5,,,,,,,,,
209,47698,418,0.02547449463622252,0.5,0.8,0.025808636493547317,1.0,1.0,,,,,,
210,47796,420,0.036552351438635174,1.0,1.0,,,,,,,,,
211,48070,422,0.029229059983861265,0.5,0.8333333333333334,,,,,,,,,
212,48280,424,0.03288301846976398,1.0,1.0,,,,,,,,,
213,48506,426,0.03191410875762942,1.0,1.0,,,,,,,,,
214,48668,428,0.03692915143775645,0.5,0.8,,,,,,,,,
215,48926,430,0.029588152520121865,0.5,0.8,,,,,,,,,
216,49168,432,0.03319149062227492,1.0,1.0,,,,,,,,,
217,49394,434,0.033054938064421675,1.0,1.0,0.02925974777878218,0.5,0.8,,,,,,
218,49652,436,0.03551831101251992,0.0,0.5,,,,,,,,,
219,49878,438,0.033668466808107304,0.0,0.5,,,,,,,,,
220,49992,440,0.02828251120731823,1.0,1.0,,,,,,,,,
221,50218,442,0.02195753971798175,1.0,1.0,,,,,,,,,
222,50444,444,0.021867064931024548,1.0,1.0,,,,,,,,,
223,50718,446,0.028863408608016575,0.5,0.8,,,,,,,,,
224,50928,448,0.03642411050621097,0.5,0.8,,,,,,,,,
