source,title,published_at,currencies,full_news_url,description
The Daily Hodl,Ripple Launching Stablecoin Project for Republic of Palau – Is XRP Involved?,2022-12-23T19:05:41Z,XRP,https://cryptopanic.com/news/17226014/Ripple-Launching-Stablecoin-Project-for-Republic-of-Palau-Is-XRP-Involved,"<p>San Francisco-based payments firm Ripple is launching a stablecoin project for the Micronesian nation of Palau. Speaking at a crypto conference in Singapore, Surangel Whipps Jr., the current President of Palau, says the island nation has numerous projects in the works that utilize crypto assets, including a government-issued stablecoin, as well as Binance Pay. “Palau […]</p>
"
ZyCrypto,XRP Lawsuit Sees New Twist As Ripple And SEC Push For Extension of Joint Motion to January 13,2022-12-23T19:04:34Z,XRP,https://cryptopanic.com/news/17226015/XRP-Lawsuit-Sees-New-Twist-As-Ripple-And-SEC-Push-For-Extension-of-Joint-Motion-to-January-13,The case between Ripple Labs Inc. and the Securities and Exchange Commission (SEC) continues to wrap up.
CoinTelegraph,Crypto Biz: Contagion engulfs Bitcoin miners as bear market continues,2022-12-23T19:00:00Z,"BTC,CEL,FTT",https://cryptopanic.com/news/17226007/Crypto-Biz-Contagion-engulfs-Bitcoin-miners-as-bear-market-continues,"<p>With the BTC price plunging more than 76% peak-to-trough, miners are struggling to keep their operations running. </p>"
CoinDesk,"Over $30B of NFT Trading Volume on Ethereum is Wash Trading, Research Suggests",2022-12-23T18:58:23Z,ETH,https://cryptopanic.com/news/17226006/Over-30B-of-NFT-Trading-Volume-on-Ethereum-is-Wash-Trading-Research-Suggests,"<p>According to a report based on data pulled through Dune Analytics, the shady trades accounted for over half of the total NFT trade volumes in 2022, and nearly 45% of all-time NFT volume.</p>"
ZyCrypto,Retail Investors’ Bitcoin Ownership Hits All-Time High With 17% Of Total Supply,2022-12-23T18:52:31Z,BTC,https://cryptopanic.com/news/17225981/Retail-Investors-Bitcoin-Ownership-Hits-All-Time-High-With-17-Of-Total-Supply,A new report released by blockchain analytics firm Glassnode shows that retail investors are doubling down on their Bitcoin (BTC) investments despite the recent bearish trend.
ZyCrypto,"Vitalik Buterin Faults Ripple’s Decentralization Claim, Says The Platform Is “Completely Centralized”",2022-12-23T18:48:23Z,XRP,https://cryptopanic.com/news/17225958/Vitalik-Buterin-Faults-Ripples-Decentralization-Claim-Says-The-Platform-Is-Completely-Centralized,"Vitalik Buterin has come after Ripple and XRP and, this time hits the structure and tokenomics of its XRP with strong claims of centralization."
AMBCrypto,Binance takes measures to end attacks; BNB’s on-chain position remains in…,2022-12-23T18:30:25Z,BNB,https://cryptopanic.com/news/17225912/Binance-takes-measures-to-end-attacks-BNBs-on-chain-position-remains-in,"Binance clears the air of doubts about its comprehensive well-being. Futures and options traders hang back on trading BNB. On-chain data shows losses for investors amid recovering deposits. After weeks of allegations and counter-accusations, Binance has finally addressed the issues raised as it aims to end the uncertainty and doubt rocking the exchange. In its […]"
Blockworks,"Crypto ETFs Sank in 2022, but These 3 ‘Blockchain’ Funds Beat Bitcoin",2022-12-23T18:16:12Z,BTC,https://cryptopanic.com/news/17225879/Crypto-ETFs-Sank-in-2022-but-These-3-Blockchain-Funds-Beat-Bitcoin,"<p>Amplify’s actively managed BLOK fund is down more than 60% year to date, but how did its index-tracking competitors do?</p>"
Feed - Cryptopotato.Com,"OKX Proof-of-Reserves Report: Bitcoin, Ether, Tether Reserve Ratios Over 100%",2022-12-23T18:10:53Z,USDT,https://cryptopanic.com/news/17225884/OKX-Proof-of-Reserves-Report-Bitcoin-Ether-Tether-Reserve-Ratios-Over-100,"<p>The recently published Merkle tree PoR program covers Bitcoin, Ethereum, and Tether.</p>"
CryptoSlate,Bitcoin miners increased hash rate and production despite falling BTC prices in 2022,2022-12-23T18:00:30Z,BTC,https://cryptopanic.com/news/17225863/Bitcoin-miners-increased-hash-rate-and-production-despite-falling-BTC-prices-in-2022,"<p>The price of Bitcoin (BTC) fell by 64.68% to $16,870 from around $47,766 at the beginning of the year, CryptoSlate data shows. </p>
"
Co-founder of Ethereum,Looking forward to seeing who the next CEO is going to be!,2022-12-23T17:57:19Z,ETH,https://cryptopanic.com/news/17225833/Looking-forward-to-seeing-who-the-next-CEO-is-going-to-be,
The Daily Hodl,Twitter Adds Bitcoin (BTC) and Ethereum (ETH) Price Charts To Search Function in Latest Push for Adoption,2022-12-23T17:55:29Z,"BTC,ETH",https://cryptopanic.com/news/17225843/Twitter-Adds-Bitcoin-BTC-and-Ethereum-ETH-Price-Charts-To-Search-Function-in-Latest-Push-for-Adoption,"<p>Social media giant Twitter is adding Bitcoin (BTC) and Ethereum (ETH) price charts to its search function. In a new thread, Twitter says it’s rolling out a new feature dubbed “$Cashtags,” which also includes price charts for other assets, such as stocks and exchange-traded funds (ETFs). The addition will grant users access to an asset’s […]</p>
"
CoinTelegraph,"Price analysis 12/23: BTC, ETH, BNB, XRP, DOGE, ADA, MATIC, DOT, LTC, UNI",2022-12-23T17:29:48Z,"BTC,ETH,XRP,DOGE,ADA,MATIC,DOT,LTC,UNI,BNB",https://cryptopanic.com/news/17225773/Price-analysis-1223-BTC-ETH-BNB-XRP-DOGE-ADA-MATIC-DOT-LTC-UNI,"<p>Bitcoin and most major altcoins are trading close to their overhead resistance levels, increasing the likelihood of an upward push.</p>"
