source,title,published_at,currencies,full_news_url,description
Forkast.News,"Markets: Bitcoin, Ether slide; BNB leads gains across top 10 cryptos",2022-12-28T01:43:24Z,"BTC,BNB",https://cryptopanic.com/news/17249990/Markets-Bitcoin-Ether-slide-BNB-leads-gains-across-top-10-cryptos,Bitcoin and Ether prices dropped on Wednesday morning in Asia while other non-stablecoin top 10 cryptocurrencies posted mixed results with BNB leading gains.
AMBCrypto,Assessing the state of ETC as its hashrate touches lowest level since the merge,2022-12-28T01:30:56Z,"ETH,ETC",https://cryptopanic.com/news/17249973/Assessing-the-state-of-ETC-as-its-hashrate-touches-lowest-level-since-the-merge,"ETC is at its lowest hashrate since the merge took place. ETC’s price has also declined by more than half since then. As miners undergo trying times on major Layer 1 blockchains, Ethereum Classic’s [ETC] hashrate clinched its lowest level since the merge, data from CoinWarz revealed.  At a hash rate of 99.82 TH/s at […]"
Bitcoin.com,Robert Kiyosaki Warns Last Chance to Buy Gold and Silver at Low Prices — Says Stock Market Crash Will Send Them Higher,2022-12-28T01:30:55Z,BTC,https://cryptopanic.com/news/17249974/Robert-Kiyosaki-Warns-Last-Chance-to-Buy-Gold-and-Silver-at-Low-Prices-Says-Stock-Market-Crash-Will-Send-Them-Higher,"The famous author of the best-selling book Rich Dad Poor Dad, Robert Kiyosaki, says now may be the last chance to buy gold and silver at low prices. “Inflation moving up. Interest rates moving up. Stock market to crash sending gold and silver higher,” Kiyosaki described. Robert Kiyosaki Expects Gold and Silver to Soar When […]"
CryptoSlate,ProtonMail creator unsure whether his firm will continue to hold Bitcoin,2022-12-28T01:30:15Z,BTC,https://cryptopanic.com/news/17249976/ProtonMail-creator-unsure-whether-his-firm-will-continue-to-hold-Bitcoin,"<p>Proton CEO and co-founder Andy Yen said that he is unsure whether his company will continue to hold Bitcoin during a Forbes interview published on December 27. </p>
"
NewsBTC,"Cardano Price Consolidates, When Should You Short Again?",2022-12-28T01:00:53Z,"BTC,ADA",https://cryptopanic.com/news/17249945/Cardano-Price-Consolidates-When-Should-You-Short-Again,"<p>The Cardano price had increased over the weekend, but the coin showed lateral price movement at press time. Over the last 24 hours, ADA has dipped about 0.2%. The ADA has gained 4% in the last week, indicating a positive trend. According to the technical outlook, the Cardano price has not yet reversed its price action. The downtrend continues despite the coin securing minor gains over the last...</p></body></html>
"
NewsBTC,"Dogecoin Among Most Searched Cryptos Of The Year, Will It Keep Its Spot In 2023?",2022-12-28T01:00:30Z,"BTC,ETH,DOGE,ADA,SHIB,CHZ",https://cryptopanic.com/news/17249946/Dogecoin-Among-Most-Searched-Cryptos-Of-The-Year-Will-It-Keep-Its-Spot-In-2023,"<p>The price of Dogecoin (DOGE) follows the general trend in the crypto market and only records sideways activity. Due to the holiday season, the trading volume across global markets decreased, leading to stagnation in the nascent sector.&#160; Related Reading: Chiliz (CHZ) Finds Cover At This Level For Some Temporary Relief As of this writing, Dogecoin trades at $0.074 with a 1% loss in the last 24...</p></body></html>
"
AMBCrypto,Why ‘this’ Polkadot king status is no debate; but for DOT…,2022-12-28T00:30:23Z,"MC_,DOT",https://cryptopanic.com/news/17249888/Why-this-Polkadot-king-status-is-no-debate-but-for-DOT,"Polkadot sustained being the leader in terms of the Nakamoto Coefficient DOT’s volatility remained low as daily fees on the Kusama network hit highs Polkadot [DOT], like many other cryptocurrencies, had a torrid 2022 in terms of its value and market capitalization. However, there was one aspect where the troubled protocol excelled, and managed to […]"
CoinDesk,First Mover Asia: Bitcoin Drifts Lower as Crypto Winter Continues,2022-12-28T00:21:04Z,BTC,https://cryptopanic.com/news/17249874/First-Mover-Asia-Bitcoin-Drifts-Lower-as-Crypto-Winter-Continues,"<p>ALSO: CoinDesk Columnist David Z. Morris' early soothsaying about the seriousness of the allegations against Sam Bankman-Fried, the former CEO of embattled crypto exchange FTX; bitcoin drifts toward $16.7K.</p>"
CryptoSlate,“Running Bitcoin” half marathon will commemorate Hal Finney,2022-12-28T00:00:29Z,BTC,https://cryptopanic.com/news/17249858/Running-Bitcoin-half-marathon-will-commemorate-Hal-Finney,"<p>Fran Finney, the widow of early Bitcoin contributor Hal Finney, announced a charity half marathon in honor of her husband via Twitter on December 27. </p>
"
U.Today,"Bitcoin, Ethereum and Cardano: What Top Analysts are Expecting for Price of These Cryptos in 2023",2022-12-28T00:00:00Z,ETH,https://cryptopanic.com/news/17249860/Bitcoin-Ethereum-and-Cardano-What-Top-Analysts-are-Expecting-for-Price-of-These-Cryptos-in-2023,<p>Find out what you can expect for main cryptos in 2023</p>
